x	y	epresenceScore	epresence	eorientScore	eorient	ecorr
GU.2508_<<_GU.2750	GU.2508	GU.2750	0.436247358966219	1	NA	1	NA
GU.95_<<_GU.328	GU.95	GU.328	0.298769371768588	1	NA	1	NA
GU.95_<<_GU.249	GU.95	GU.249	0.298769371768588	1	NA	1	NA
GU.328_<<_GU.249	GU.328	GU.249	0.298769371768588	1	NA	1	NA
GU.95_<<_GU.671	GU.95	GU.671	0.20238767157321	1	NA	1	NA
GU.328_<<_GU.671	GU.328	GU.671	0.20238767157321	1	NA	1	NA
GU.249_<<_GU.671	GU.249	GU.671	0.20238767157321	1	NA	1	NA
GU.1149_<<_GU.358	GU.1149	GU.358	0.187944147734172	1	NA	1	NA
GU.400_<<_GU.671	GU.400	GU.671	0.155224755062155	1	NA	1	NA
GU.2750_<<_GU.1149	GU.2750	GU.1149	0.0598094576062596	1	NA	1	NA
GU.2750_<<_GU.358	GU.2750	GU.358	0.0598094576062596	1	NA	1	NA
GU.400_<<_GU.1149	GU.400	GU.1149	0.0473776961321124	1	NA	1	NA
GU.400_<<_GU.358	GU.400	GU.358	0.0473776961321124	1	NA	1	NA
GU.2508_<<_GU.671	GU.2508	GU.671	0.0425209208889696	1	NA	1	NA
GU.400_<<_GU.2508	GU.400	GU.2508	0	0	NA	0	NA
GU.400_<<_GU.2750	GU.400	GU.2750	0	0	NA	0	NA
GU.400_<<_GU.95	GU.400	GU.95	0	0	NA	0	NA
GU.400_<<_GU.328	GU.400	GU.328	0	0	NA	0	NA
GU.400_<<_GU.249	GU.400	GU.249	0	0	NA	0	NA
GU.2508_<<_GU.95	GU.2508	GU.95	0	0	NA	0	NA
GU.2508_<<_GU.328	GU.2508	GU.328	0	0	NA	0	NA
GU.2508_<<_GU.249	GU.2508	GU.249	0	0	NA	0	NA
GU.2508_<<_GU.1149	GU.2508	GU.1149	0	0	NA	0	NA
GU.2508_<<_GU.358	GU.2508	GU.358	0	0	NA	0	NA
GU.2750_<<_GU.95	GU.2750	GU.95	0	0	NA	0	NA
GU.2750_<<_GU.328	GU.2750	GU.328	0	0	NA	0	NA
GU.2750_<<_GU.249	GU.2750	GU.249	0	0	NA	0	NA
GU.2750_<<_GU.671	GU.2750	GU.671	0	0	NA	0	NA
GU.95_<<_GU.1149	GU.95	GU.1149	0	0	NA	0	NA
GU.95_<<_GU.358	GU.95	GU.358	0	0	NA	0	NA
GU.328_<<_GU.1149	GU.328	GU.1149	0	0	NA	0	NA
GU.328_<<_GU.358	GU.328	GU.358	0	0	NA	0	NA
GU.249_<<_GU.1149	GU.249	GU.1149	0	0	NA	0	NA
GU.249_<<_GU.358	GU.249	GU.358	0	0	NA	0	NA
GU.1149_<<_GU.671	GU.1149	GU.671	0	0	NA	0	NA
GU.358_<<_GU.671	GU.358	GU.671	0	0	NA	0	NA
